Student_ID,Age,Grade,Attendance_Rate,Study_Hours_Per_Week,Assignment_Score,Midterm_Score,Final_Score,Major,Extracurricular_Hours,Project_Score
S001,20,85,90,14,88,82,86,Computer Science,6,90
S002,21,92,95,18,94,90,93,Computer Science,4,96
S003,19,78,85,10,76,79,80,Mathematics,8,75
S004,22,88,80,12,85,91,89,Physics,5,84
S005,20,95,98,20,98,94,96,Mathematics,2,97
S006,21,70,75,8,72,68,71,Physics,10,68
S007,23,82,92,15,80,84,83,Computer Science,7,85
S008,19,90,88,16,91,89,90,Mathematics,5,92
S009,20,75,80,9,74,77,75,Physics,9,72
S010,22,89,96,17,90,87,91,Computer Science,3,93
S011,21,84,88,13,86,81,85,Data Science,6,88
S012,20,96,99,22,97,95,98,Data Science,4,99
S013,19,68,72,7,65,70,69,Electrical Engineering,12,65
S014,22,91,94,19,92,89,92,Computer Science,5,94
S015,20,79,83,11,81,76,80,Mathematics,7,78
S016,21,87,89,15,89,85,88,Data Science,6,90
S017,23,73,78,8,70,75,74,Physics,11,70
S018,19,83,86,12,84,82,83,Electrical Engineering,6,82
S019,20,94,97,21,96,93,95,Computer Science,3,97
S020,22,76,81,10,75,78,77,Mathematics,8,74
S021,21,89,93,16,90,88,90,Data Science,5,91
S022,20,67,70,6,68,66,67,Electrical Engineering,10,64
S023,19,92,95,18,93,91,93,Physics,4,95
S024,22,85,89,14,87,83,86,Computer Science,6,87
S025,20,80,84,11,82,79,81,Mathematics,7,80
S026,21,93,96,20,95,92,94,Data Science,3,96
S027,23,71,76,7,69,73,72,Physics,9,71
S028,19,86,90,15,88,84,87,Computer Science,5,89
S029,20,88,91,16,89,86,89,Electrical Engineering,4,88
S030,22,77,82,9,78,75,78,Mathematics,8,76
S031,21,97,99,23,99,96,98,Computer Science,2,99
S032,20,81,85,12,83,80,82,Physics,7,81
S033,19,90,92,17,91,89,91,Data Science,4,92
S034,22,74,79,8,73,76,75,Electrical Engineering,10,73
S035,20,86,88,14,87,85,87,Computer Science,6,88
S036,21,91,94,18,92,90,92,Mathematics,3,93
S037,23,69,73,7,66,71,70,Physics,11,67
S038,19,88,91,15,89,87,89,Data Science,5,90
S039,20,82,86,13,84,81,83,Electrical Engineering,7,83
S040,22,94,97,21,95,93,95,Computer Science,3,96
