Doc_ID,Title,Domain,Text
D001,"Introduction to Pattern Recognition","Computer Science","Fundamental concepts of statistical and structural pattern recognition, feature vector representations, decision boundaries, Bayes theorem, and nearest neighbor classification."
D002,"Deep Learning for Computer Vision","Computer Science","Convolutional neural networks, visual feature extraction, image classification, object detection, spatial pooling, and transfer learning architectures."
D003,"Linear Algebra and Vector Spaces","Mathematics","Vector spaces, linear transformations, eigenvalues, eigenvectors, matrix decompositions, orthogonal projections, and principal component analysis."
D004,"Probability and Random Processes","Mathematics","Probability distributions, random variables, expectation, variance, Markov chains, stochastic processes, and maximum likelihood estimation."
D005,"Classical Mechanics and Kinematics","Physics","Newtonian mechanics, Lagrangian formalism, harmonic oscillators, motion in potential fields, rotational dynamics, and conservation laws."
D006,"Quantum Mechanics and Wavefunctions","Physics","Wave-particle duality, Schrodinger equation, Hilbert space representations, quantum state vectors, operators, and probability densities."
D007,"Digital Signal Processing and Wavelets","Electrical Engineering","Sampling theory, discrete Fourier transform, z-transform, digital filters, frequency spectrum analysis, and wavelet decomposition."
D008,"Microelectronic Circuits and Semiconductor Devices","Electrical Engineering","Semiconductor physics, MOSFET amplifiers, operational amplifiers, frequency response, feedback circuits, and VLSI design."
D009,"Machine Learning and Statistical Inference","Data Science","Supervised learning, unsupervised clustering, support vector machines, decision trees, bias-variance tradeoff, and cross-validation techniques."
D010,"Big Data Analytics and Data Mining","Data Science","Distributed computing, MapReduce, associative rule mining, anomaly detection, scalable dimensionality reduction, and clustering algorithms."
D011,"Natural Language Processing and Text Embeddings","Computer Science","Text tokenization, TF-IDF representations, word embeddings, sequence-to-sequence models, attention mechanisms, and transformer networks."
D012,"Reinforcement Learning and Markov Decision Processes","Computer Science","Agent environment interaction, Q-learning, policy gradients, Bellman optimality equations, exploration versus exploitation."
D013,"Multivariable Calculus and Optimization","Mathematics","Gradient descent, convex optimization, Lagrange multipliers, Hessian matrices, partial derivatives, and saddle point analysis."
D014,"Graph Theory and Network Algorithms","Mathematics","Graph representations, shortest path algorithms, spectral graph theory, adjacency matrices, centrality measures, and network flow."
D015,"Electromagnetism and Maxwell Equations","Physics","Electric and magnetic fields, Maxwell equations, electromagnetic waves, boundary value problems, and vector calculus in physics."
D016,"Thermodynamics and Statistical Physics","Physics","Entropy, partition functions, microcanonical ensembles, thermodynamic potentials, phase transitions, and Boltzmann distributions."
D017,"Control Systems and Feedback Dynamics","Electrical Engineering","State space representations, transfer functions, root locus, Bode plots, PID controllers, and stability criteria."
D018,"Communication Systems and Modulation","Electrical Engineering","Analog and digital modulation, noise in communication channels, Shannon channel capacity, error-correcting codes, and spectrum efficiency."
D019,"Time Series Analysis and Forecasting","Data Science","Autoregressive integrated moving average models, seasonal decomposition, stationarity testing, exponential smoothing, and anomaly detection."
D020,"Information Retrieval and Vector Search Engines","Data Science","Cosine similarity retrieval, inverted index, dense vector search, TF-IDF ranking, precision-recall evaluation, and semantic search."
D021,"Computer Graphics and Geometric Modeling","Computer Science","3D transformations, polygon meshes, ray tracing, shading algorithms, rendering pipeline, and spatial acceleration structures."
D022,"Compiler Design and Formal Languages","Computer Science","Lexical analysis, syntax trees, context-free grammars, intermediate code generation, optimization passes, and register allocation."
D023,"Numerical Methods and Scientific Computing","Mathematics","Numerical linear algebra, root finding algorithms, numerical integration, finite difference methods, and error propagation."
D024,"Differential Equations and Dynamical Systems","Mathematics","Ordinary and partial differential equations, phase portraits, stability analysis, bifurcation theory, and Fourier series solutions."
D025,"Optics and Laser Physics","Physics","Interference, diffraction, geometric optics, laser resonators, optical fibers, photonics, and polarization of light waves."
D026,"Solid State Physics and Band Theory","Physics","Crystal lattices, Brillouin zones, energy bands, semiconductors, phonons, and electrical conductivity in metals."
D027,"Wireless Sensor Networks and IoT Systems","Electrical Engineering","Sensor nodes, wireless protocols, energy harvesting, edge computing, distributed signal processing, and mesh networking."
D028,"Power Electronics and Electric Drives","Electrical Engineering","Inverters, rectifiers, DC-DC converters, motor drive control, renewable energy integration, and grid synchronization."
D029,"Unsupervised Feature Learning and Clustering","Data Science","K-means clustering, hierarchical clustering, DBSCAN, t-SNE projections, autoencoders, and self-organizing maps."
D030,"Predictive Modeling and Ensemble Learning","Data Science","Random forests, gradient boosting machines, XGBoost, stacking classifiers, model interpretability, and SHAP values."
